,Country,Language,Year,Value
550,Australia,Spanish,2011,114775.0
553,Australia,Tamil,2011,49880.0
554,Australia,Telugu,2011,18630.0
555,Australia,Thai,2011,35305.0
558,Australia,Ukrainian,2011,7471.0
559,Australia,Urdu,2011,36525.0
574,Australia,Arabic,2011,145492.0
579,Australia,Bengali,2011,19596.0
588,Australia,English,2011,7056586.0
592,Australia,French,2011,26146.0
593,Australia,German,2011,32526.0
595,Australia,Gujarati,2011,18457.0
598,Australia,Hindi,2011,57449.0
599,Australia,Hungarian,2011,8957.0
600,Australia,Indonesian,2011,25633.0
603,Australia,Kannada,2011,3042.0
604,Australia,Khmer,2011,13593.0
610,Australia,Malayalam,2011,12752.0
614,Australia,Marathi,2011,4459.0
615,Australia,Nepali,2011,15530.0
619,Australia,Polish,2011,21533.0
622,Australia,Punjabi,2011,41359.0
623,Australia,Romanian,2011,5640.0
624,Australia,Russian,2011,18546.0
630,Australia,Spanish,2011,54444.0
633,Australia,Tamil,2011,25591.0
634,Australia,Telugu,2011,10499.0
635,Australia,Thai,2011,12231.0
638,Australia,Ukrainian,2011,3092.0
639,Australia,Urdu,2011,20465.0
654,Australia,Arabic,2011,138580.0
659,Australia,Bengali,2011,15919.0
668,Australia,English,2011,7335901.0
672,Australia,French,2011,28406.0
673,Australia,German,2011,38680.0
675,Australia,Gujarati,2011,15654.0
678,Australia,Hindi,2011,53025.0
679,Australia,Hungarian,2011,11009.0
680,Australia,Indonesian,2011,29368.0
683,Australia,Kannada,2011,2863.0
684,Australia,Khmer,2011,15368.0
690,Australia,Malayalam,2011,12161.0
694,Australia,Marathi,2011,4087.0
695,Australia,Nepali,2011,11502.0
699,Australia,Polish,2011,27690.0
702,Australia,Punjabi,2011,28389.0
703,Australia,Romanian,2011,6202.0
704,Australia,Russian,2011,24485.0
710,Australia,Spanish,2011,60331.0
713,Australia,Tamil,2011,24289.0
714,Australia,Telugu,2011,8131.0
715,Australia,Thai,2011,23074.0
718,Australia,Ukrainian,2011,4379.0
719,Australia,Urdu,2011,16060.0
734,Australia,Arabic,2011,2768.0
739,Australia,Bengali,2011,95.0
748,Australia,English,2011,2081897.0
752,Australia,French,2011,2946.0
753,Australia,German,2011,8885.0
755,Australia,Gujarati,2011,85.0
758,Australia,Hindi,2011,776.0
759,Australia,Hungarian,2011,889.0
760,Australia,Indonesian,2011,791.0
763,Australia,Kannada,2011,16.0
764,Australia,Khmer,2011,540.0
770,Australia,Malayalam,2011,170.0
774,Australia,Marathi,2011,16.0
775,Australia,Nepali,2011,93.0
779,Australia,Polish,2011,1401.0
782,Australia,Punjabi,2011,1421.0
783,Australia,Romanian,2011,393.0
784,Australia,Russian,2011,958.0
790,Australia,Spanish,2011,2468.0
793,Australia,Tamil,2011,224.0
794,Australia,Telugu,2011,80.0
795,Australia,Thai,2011,1301.0
798,Australia,Ukrainian,2011,286.0
799,Australia,Urdu,2011,262.0
814,Australia,Arabic,2011,1558.0
819,Australia,Bengali,2011,55.0
828,Australia,English,2011,1071333.0
832,Australia,French,2011,1401.0
833,Australia,German,2011,4222.0
835,Australia,Gujarati,2011,47.0
838,Australia,Hindi,2011,417.0
839,Australia,Hungarian,2011,444.0
840,Australia,Indonesian,2011,359.0
843,Australia,Kannada,2011,11.0
844,Australia,Khmer,2011,264.0
850,Australia,Malayalam,2011,96.0
854,Australia,Marathi,2011,12.0
855,Australia,Nepali,2011,58.0
859,Australia,Polish,2011,666.0
862,Australia,Punjabi,2011,802.0
863,Australia,Romanian,2011,201.0
864,Australia,Russian,2011,424.0
870,Australia,Spanish,2011,1248.0
873,Australia,Tamil,2011,119.0
874,Australia,Telugu,2011,49.0
875,Australia,Thai,2011,393.0
878,Australia,Ukrainian,2011,133.0
879,Australia,Urdu,2011,141.0
894,Australia,Arabic,2011,1210.0
899,Australia,Bengali,2011,40.0
908,Australia,English,2011,1010564.0
912,Australia,French,2011,1545.0
913,Australia,German,2011,4663.0
915,Australia,Gujarati,2011,38.0
918,Australia,Hindi,2011,359.0
919,Australia,Hungarian,2011,445.0
920,Australia,Indonesian,2011,432.0
923,Australia,Kannada,2011,5.0
924,Australia,Khmer,2011,276.0
930,Australia,Malayalam,2011,74.0
934,Australia,Marathi,2011,4.0
935,Australia,Nepali,2011,35.0
939,Australia,Polish,2011,735.0
942,Australia,Punjabi,2011,619.0
943,Australia,Romanian,2011,192.0
944,Australia,Russian,2011,534.0
950,Australia,Spanish,2011,1220.0
953,Australia,Tamil,2011,105.0
954,Australia,Telugu,2011,31.0
955,Australia,Thai,2011,908.0
958,Australia,Ukrainian,2011,153.0
959,Australia,Urdu,2011,121.0
974,Australia,Arabic,2006,243662.0
979,Australia,Bengali,2006,20221.0
986,Australia,Czech,2006,6900.0
989,Australia,English,2006,15581334.0
993,Australia,French,2006,43215.0
994,Australia,German,2006,75634.0
996,Australia,Gujarati,2006,11875.0
999,Australia,Hindi,2006,70009.0
1001,Australia,Hungarian,2006,21561.0
1002,Australia,Indonesian,2006,42037.0
1005,Australia,Kannada,2006,3251.0
1006,Australia,Khmer,2006,24710.0
1012,Australia,Malayalam,2006,7091.0
1016,Australia,Marathi,2006,4047.0
1017,Australia,Nepali,2006,4655.0
1020,Australia,Polish,2006,53388.0
1023,Australia,Punjabi,2006,23165.0
1024,Australia,Romanian,2006,10897.0
1025,Australia,Russian,2006,36503.0
1031,Australia,Spanish,2006,98000.0
1034,Australia,Tamil,2006,32701.0
1035,Australia,Telugu,2006,8278.0
1036,Australia,Thai,2006,23642.0
1039,Australia,Ukrainian,2006,9017.0
1040,Australia,Urdu,2006,19288.0
1056,Australia,Arabic,2006,124973.0
1061,Australia,Bengali,2006,11693.0
1068,Australia,Czech,2006,3240.0
1071,Australia,English,2006,7671502.0
1075,Australia,French,2006,20547.0
1076,Australia,German,2006,34726.0
1078,Australia,Gujarati,2006,6730.0
1081,Australia,Hindi,2006,36417.0
1083,Australia,Hungarian,2006,9776.0
1084,Australia,Indonesian,2006,19487.0
1087,Australia,Kannada,2006,1754.0
1088,Australia,Khmer,2006,11720.0
1094,Australia,Malayalam,2006,3694.0
1098,Australia,Marathi,2006,2143.0
1099,Australia,Nepali,2006,2743.0
1102,Australia,Polish,2006,23815.0
1105,Australia,Punjabi,2006,13311.0
1106,Australia,Romanian,2006,5231.0
1107,Australia,Russian,2006,15918.0
1113,Australia,Spanish,2006,46612.0
1116,Australia,Tamil,2006,16694.0
1117,Australia,Telugu,2006,4991.0
1118,Australia,Thai,2006,8598.0
1121,Australia,Ukrainian,2006,3882.0
1122,Australia,Urdu,2006,10731.0
1138,Australia,Arabic,2006,118689.0
1143,Australia,Bengali,2006,8528.0
1150,Australia,Czech,2006,3660.0
1153,Australia,English,2006,7909832.0
1157,Australia,French,2006,22668.0
1158,Australia,German,2006,40908.0
1160,Australia,Gujarati,2006,5145.0
1163,Australia,Hindi,2006,33592.0
1165,Australia,Hungarian,2006,11785.0
1166,Australia,Indonesian,2006,22550.0
1169,Australia,Kannada,2006,1497.0
1170,Australia,Khmer,2006,12990.0
1176,Australia,Malayalam,2006,3397.0
1180,Australia,Marathi,2006,1904.0
1181,Australia,Nepali,2006,1912.0
1184,Australia,Polish,2006,29573.0
1187,Australia,Punjabi,2006,9854.0
1188,Australia,Romanian,2006,5666.0
1189,Australia,Russian,2006,20585.0
1195,Australia,Spanish,2006,51388.0
1198,Australia,Tamil,2006,16007.0
1199,Australia,Telugu,2006,3287.0
1200,Australia,Thai,2006,15044.0
1203,Australia,Ukrainian,2006,5135.0
1204,Australia,Urdu,2006,8557.0
1220,Australia,Arabic,2006,240892.0
1225,Australia,Bengali,2006,20143.0
1232,Australia,Czech,2006,6449.0
1235,Australia,English,2006,13447651.0
1239,Australia,French,2006,40615.0
1240,Australia,German,2006,66370.0
1242,Australia,Gujarati,2006,11805.0
1245,Australia,Hindi,2006,69454.0
1247,Australia,Hungarian,2006,20517.0
1248,Australia,Indonesian,2006,41425.0
1251,Australia,Kannada,2006,3240.0
1252,Australia,Khmer,2006,24279.0
1258,Australia,Malayalam,2006,7049.0
1262,Australia,Marathi,2006,4016.0
1263,Australia,Nepali,2006,4627.0
1266,Australia,Polish,2006,52019.0
1269,Australia,Punjabi,2006,22017.0
1270,Australia,Romanian,2006,10538.0
1271,Australia,Russian,2006,35657.0
1277,Australia,Spanish,2006,95833.0
