,Country,Language,Year,Value
173,Armenia,Ezidian,2011,13186
174,Armenia,Total,2001,3213011
175,Armenia,Armenian,2001,3139152
176,Armenia,Russian,2001,29563
177,Armenia,Ukrainian,2001,818
178,Armenia,Other,2001,11679
179,Armenia,Ezidian,2001,31799
180,Armenia,Total,2001,1541999
181,Armenia,Armenian,2001,1511020
182,Armenia,Russian,2001,9540
183,Armenia,Ukrainian,2001,91
184,Armenia,Other,2001,5401
185,Armenia,Ezidian,2001,15947
186,Armenia,Total,2001,1671012
187,Armenia,Armenian,2001,1628132
188,Armenia,Russian,2001,20023
189,Armenia,Ukrainian,2001,727
190,Armenia,Other,2001,6278
191,Armenia,Ezidian,2001,15852
192,Armenia,Total,2001,2066153
193,Armenia,Armenian,2001,2034296
194,Armenia,Russian,2001,22328
195,Armenia,Ukrainian,2001,652
196,Armenia,Other,2001,3366
197,Armenia,Ezidian,2001,5511
198,Armenia,Total,2001,974826
199,Armenia,Armenian,2001,963849
200,Armenia,Russian,2001,6771
201,Armenia,Ukrainian,2001,85
202,Armenia,Other,2001,1404
203,Armenia,Ezidian,2001,2717
204,Armenia,Total,2001,1091327
205,Armenia,Armenian,2001,1070447
206,Armenia,Russian,2001,15557
207,Armenia,Ukrainian,2001,567
208,Armenia,Other,2001,1962
209,Armenia,Ezidian,2001,2794
210,Armenia,Total,2001,1146858
211,Armenia,Armenian,2001,1104856
212,Armenia,Russian,2001,7235
213,Armenia,Ukrainian,2001,166
214,Armenia,Other,2001,8313
215,Armenia,Ezidian,2001,26288
216,Armenia,Total,2001,567173
217,Armenia,Armenian,2001,547171
218,Armenia,Russian,2001,2769
219,Armenia,Ukrainian,2001,6
220,Armenia,Other,2001,3997
221,Armenia,Ezidian,2001,13230
222,Armenia,Total,2001,579685
223,Armenia,Armenian,2001,557685
224,Armenia,Russian,2001,4466
225,Armenia,Ukrainian,2001,160
226,Armenia,Other,2001,4316
227,Armenia,Ezidian,2001,13058
228,Aruba,Total,2000,86408
229,Aruba,Dutch,2000,5289
230,Aruba,English,2000,7001
231,Aruba,Papiamento,2000,59984
232,Aruba,Portuguese,2000,225
233,Aruba,Spanish,2000,11368
234,Aruba,Other,2000,1781
235,Aruba,Unknown,2000,759
236,Aruba,Total,2000,41366
237,Aruba,Dutch,2000,2563
238,Aruba,English,2000,3213
239,Aruba,Papiamento,2000,28935
240,Aruba,Portuguese,2000,118
241,Aruba,Spanish,2000,5165
242,Aruba,Other,2000,982
243,Aruba,Unknown,2000,391
244,Aruba,Total,2000,45042
245,Aruba,Dutch,2000,2726
246,Aruba,English,2000,3788
247,Aruba,Papiamento,2000,31050
248,Aruba,Portuguese,2000,107
249,Aruba,Spanish,2000,6203
250,Aruba,Other,2000,799
251,Aruba,Unknown,2000,369
252,Australia,Total,2011,21507719
253,Australia,Albanian,2011,8944
254,Australia,Arabic,2011,287178
255,Australia,Armenian,2011,9707
256,Australia,Assyrian,2011,21479
257,Australia,Australian Indigenous languages,2011,61798
258,Australia,Afrikaans,2011,35030
259,Australia,Bengali,2011,35645
260,Australia,Bosnian,2011,16270
261,Australia,Burmese,2011,12337
262,Australia,Cantonese,2011,263674
263,Australia,Chinese,2011,23798
264,Australia,Creole,2011,3981
265,Australia,Croatian,2011,61546
266,Australia,Danish,2011,5751
267,Australia,Dutch,2011,37247
268,Australia,English,2011,16509289
269,Australia,Fijian,2011,6828
270,Australia,Pilipino,2011,55402
271,Australia,Finnish,2011,5971
272,Australia,French,2011,57740
273,Australia,German,2011,80370
274,Australia,Greek,2011,252217
275,Australia,Gujarati,2011,34212
276,Australia,Hakka,2011,8922
277,Australia,Hebrew,2011,9664
278,Australia,Hindi,2011,111352
279,Australia,Hungarian,2011,20880
280,Australia,Indonesian,2011,55869
281,Australia,Italian,2011,299832
282,Australia,Japanese,2011,43691
283,Australia,Kannada,2011,5927
284,Australia,Khmer,2011,29518
285,Australia,Korean,2011,79783
286,Australia,Kurd,2011,4588
287,Australia,Latvian,2011,3626
288,Australia,Macedonian,2011,68848
289,Australia,Malay,2011,16565
290,Australia,Malayalam,2011,25111
291,Australia,Maltese,2011,34397
292,Australia,Mandarin,2011,336408
293,Australia,Maori,2011,9978
294,Australia,Marathi,2011,8572
295,Australia,Nepali,2011,27154
296,Australia,Norwegian,2011,2675
297,Australia,Not stated,2011,1085490
298,Australia,Persian,2011,34562
299,Australia,Polish,2011,50694
300,Australia,Pashto,2011,4801
301,Australia,Portuguese,2011,33351
302,Australia,Punjabi,2011,71229
303,Australia,Romanian,2011,12251
304,Australia,Russian,2011,44058
305,Australia,Samoan,2011,36576
306,Australia,Serbian,2011,55112
307,Australia,Sinhalese,2011,48193
308,Australia,Slovak,2011,4992
309,Australia,Slovenian,2011,4184
310,Australia,Spanish,2011,117497
311,Australia,Swedish,2011,7330
312,Australia,Tagalog,2011,81455
313,Australia,Tamil,2011,50152
314,Australia,Telugu,2011,18722
315,Australia,Thai,2011,36681
316,Australia,Tongan,2011,16007
